Region,Subregion,Economies
East Asia & Pacific,Australia and New Zealand,"Australia (AUS), New Zealand (NZL)"
East Asia & Pacific,East Asia,"China (CHN), Hong Kong SAR, China (HKG), Japan (JPN), Korea, Dem. People's Rep. (PRK), Korea, Rep. (KOR), Macao SAR, China (MAC), Mongolia (MNG), Taiwan, China (TWN)"
East Asia & Pacific,Melanesia,"Fiji (FJI), New Caledonia (NCL), Papua New Guinea (PNG), Solomon Islands (SLB), Vanuatu (VUT)"
East Asia & Pacific,Micronesia,"Guam (GUM), Kiribati (KIR), Marshall Islands (MHL), Micronesia, Fed. Sts. (FSM), Nauru (NRU), Northern Mariana Islands (MNP), Palau (PLW)"
East Asia & Pacific,Polynesia,"American Samoa (ASM), French Polynesia (PYF), Samoa (WSM), Tonga (TON), Tuvalu (TUV)"
East Asia & Pacific,Southeast Asia,"Brunei Darussalam (BRN), Cambodia (KHM), Indonesia (IDN), Lao PDR (LAO), Malaysia (MYS), Myanmar (MMR), Philippines (PHL), Singapore (SGP), Thailand (THA), Timor-Leste (TLS), Vietnam (VNM)"
Europe & Central Asia,Central Asia,"Kazakhstan (KAZ), Kyrgyz Republic (KGZ), Tajikistan (TJK), Turkmenistan (TKM), Uzbekistan (UZB)"
Europe & Central Asia,Eastern Europe,"Belarus (BLR), Bulgaria (BGR), Czechia (CZE), Hungary (HUN), Moldova (MDA), Poland (POL), Romania (ROU), Russian Federation (RUS), Slovak Republic (SVK), Ukraine (UKR)"
Europe & Central Asia,Northern Europe,"Denmark (DNK), Estonia (EST), Faroe Islands (FRO), Finland (FIN), Greenland (GRL), Iceland (ISL), Ireland (IRL), Isle of Man (IMN), Latvia (LVA), Lithuania (LTU), Norway (NOR), Sweden (SWE), United Kingdom (GBR)"
Europe & Central Asia,Southern Europe,"Albania (ALB), Andorra (AND), Bosnia and Herzegovina (BIH), Croatia (HRV), Cyprus (CYP), Gibraltar (GIB), Greece (GRC), Italy (ITA), Kosovo (XKX), Malta (MLT), Montenegro (MNE), North Macedonia (MKD), Portugal (PRT), San Marino (SMR), Serbia (SRB), Slovenia (SVN), Spain (ESP)"
Europe & Central Asia,Western Asia,"Armenia (ARM), Azerbaijan (AZE), Georgia (GEO), Türkiye (TUR)"
Europe & Central Asia,Western Europe,"Austria (AUT), Belgium (BEL), Channel Islands (CHI), France (FRA), Germany (DEU), Liechtenstein (LIE), Luxembourg (LUX), Monaco (MCO), Netherlands (NLD), Switzerland (CHE)"
Latin America & Caribbean,Caribbean,"Antigua and Barbuda (ATG), Aruba (ABW), Bahamas, The (BHS), Barbados (BRB), Bermuda (BMU), British Virgin Islands (VGB), Cayman Islands (CYM), Cuba (CUB), Curaçao (CUW), Dominica (DMA), Dominican Republic (DOM), Grenada (GRD), Haiti (HTI), Jamaica (JAM), Puerto Rico (PRI), Sint Maarten (Dutch part) (SXM), St. Kitts and Nevis (KNA), St. Lucia (LCA), St. Martin (French part) (MAF), St. Vincent and the Grenadines (VCT), Trinidad and Tobago (TTO), Turks and Caicos Islands (TCA), Virgin Islands (U.S.) (VIR)"
Latin America & Caribbean,Central America,"Belize (BLZ), Costa Rica (CRI), El Salvador (SLV), Guatemala (GTM), Honduras (HND), Mexico (MEX), Nicaragua (NIC), Panama (PAN)"
Latin America & Caribbean,South America,"Argentina (ARG), Bolivia (BOL), Brazil (BRA), Chile (CHL), Colombia (COL), Ecuador (ECU), Guyana (GUY), Paraguay (PRY), Peru (PER), Suriname (SUR), Uruguay (URY), Venezuela, RB (VEN)"
Middle East & North Africa,Middle East,"Bahrain (BHR), Iran, Islamic Rep. (IRN), Iraq (IRQ), Israel (ISR), Jordan (JOR), Kuwait (KWT), Lebanon (LBN), Oman (OMN), Qatar (QAT), Saudi Arabia (SAU), Syrian Arab Republic (SYR), United Arab Emirates (ARE), West Bank and Gaza (PSE), Yemen, Rep. (YEM)"
Middle East & North Africa,Northern Africa,"Algeria (DZA), Djibouti (DJI), Egypt, Arab Rep. (EGY), Libya (LBY), Morocco (MAR), Tunisia (TUN)"
North America,North America,"Canada (CAN), United States (USA)"
South Asia,Southern Asia,"Afghanistan (AFG), Bangladesh (BGD), Bhutan (BTN), India (IND), Maldives (MDV), Nepal (NPL), Pakistan (PAK), Sri Lanka (LKA)"
Sub-Saharan Africa,Central Africa,"Angola (AGO), Cameroon (CMR), Central African Republic (CAF), Chad (TCD), Congo, Dem. Rep. (COD), Congo, Rep. (COG), Equatorial Guinea (GNQ), Gabon (GAB), São Tomé and Príncipe (STP)"
Sub-Saharan Africa,Eastern Africa,"Burundi (BDI), Comoros (COM), Eritrea (ERI), Ethiopia (ETH), Kenya (KEN), Madagascar (MDG), Malawi (MWI), Mauritius (MUS), Mozambique (MOZ), Rwanda (RWA), Seychelles (SYC), Somalia (SOM), South Sudan (SSD), Sudan (SDN), Tanzania (TZA), Uganda (UGA), Zambia (ZMB), Zimbabwe (ZWE)"
Sub-Saharan Africa,Southern Africa,"Botswana (BWA), Eswatini (SWZ), Lesotho (LSO), Namibia (NAM), South Africa (ZAF)"
Sub-Saharan Africa,Western Africa,"Benin (BEN), Burkina Faso (BFA), Cabo Verde (CPV), Côte d’Ivoire (CIV), Gambia, The (GMB), Ghana (GHA), Guinea (GIN), Guinea-Bissau (GNB), Liberia (LBR), Mali (MLI), Mauritania (MRT), Niger (NER), Nigeria (NGA), Senegal (SEN), Sierra Leone (SLE), Togo (TGO)"
